"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Tricladida"	6159		"Order"	"Carnivores"	"No"		"Prasniski, M.E., Leal-Zanchet, A.M., 2009. Predatory behavior of the land flatworm Notogynaphallia abundans (Platyhelminthes: Tricladida). Zoologia (Curitiba Impresso) 26(4), 606-612."
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Geocentrophora"	6171		"Genus"	"Detritivores"	"No"		"Adl, S.M., Ruiz‐Trillo, I., Wilson, M.L., 2006. Observations on a Geocentrophora sp. (Lecithoepitheliata) flatworm from forest soils in Nova Scotia. Journal of Natural History 40(23–24), 1381–1387. https://doi.org/10.1080/00222930600929285"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida"	6236	"Strongylida"	"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Rhabditis"	6244	"Indorhabditis;Tribactis"	"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Ascarididae;g__Ascaris;s__Ascaris suum"	6253		"Species"	"Carnivores"	"No"		"Dărăbuş, G., Afrenie, M., Hotea, I., Imre, M., Morariu, S., 2014. Endoparasites in mammals from seven zoological gardens in Romania. Journal of Zoo and Wildlife Medicine 45(2), 239–246. https://doi.org/10.1638/2012-0170.1"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Meloidogynidae;g__Meloidogyne;s__Meloidogyne arenaria"	6304	"Anguillula arenaria"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Meloidogynidae;g__Meloidogyne;s__Meloidogyne hapla"	6305		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Trichinellida"	6329		"Order"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Strongylida;f__Heligmosomatidae;g__Heligmosomoides"	6338		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Annelida;c__Clitellata;o__Haplotaxida"	6382		"NA"	"NA"	"NA"		
"k__Metazoa;p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae"	6388		"Family"	"Detritivores"	"No"		"Conti, E., Mulder, C., 2022. Chemistry-driven Enchytraeidae assemblages acting as soil and ecosystem engineers in edaphic communities.Ecological Indicators 144, 109529.https://doi.org/10.1016/j.ecolind.2022.109529"
"k__Metazoa;p__Annelida;c__Clitellata;o__Crassiclitellata;f__Lumbricidae;g__Eisenia;s__Eisenia fetida"	6396	"Eisenia foetida;Eiseniella fetida;Enterion fetidum"	"Species"	"Detritivores"	"No"		"Reinecke, A.J., Viljoen, S.A., 1990. The influence of feeding patterns on growth and reproduction of the vermicomposting earthworm Eisenia fetida (Oligochaeta).Biology and Fertility of Soils 10(3), 184–187.https://doi.org/10.1007/bf00336133"
"k__Metazoa;p__Mollusca;c__Gastropoda"	6448		"NA"	"NA"	"NA"	"Different feeding habits within the class"	
"k__Metazoa;p__Mollusca;c__Gastropoda;o__;f__Planorbidae;g__Biomphalaria;s__Biomphalaria glabrata"	6526	"Australorbis glabratus;Planorbis glabratus"	"Species"	"Detritivores"	"No"		"Thomas, J.D., Nwanko, D.I., Sterry P.R., 1985. The feeding strategies of juvenile and adult Biomphalaria glabrata (Say) under simulated natural conditions and their relevance to ecological theory and snail control. Proceedings of the Royal Society of London, Series B  226, 177-209. http://doi.org/10.1098/rspb.1985.0090"
"k__Metazoa;p__Arthropoda;c__Branchiopoda;o__Cyclopoida;f__Daphniidae;g__Daphnia;s__Daphnia pulex"	6669		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae"	6893		"Order"	"Carnivores"	"No"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Agelenidae"	6906		"Family"	"Carnivores"	"No"		"Nyffeler, M., Benz, G., 1981. Field studies on the feeding ecology of spiders: observations in the region of Zurich (Switzerland). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 54, 33-39. / Nyffeler, M., Olson, E. J., Symondson, W. O. C., 2016. Plant-eating by spiders. Journal of Arachnology 44(1), 15–27. https://doi.org/10.1636/p15-45.1"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Ixodida;f__Ixodidae"	6939		"Family"	"Carnivores"	"No"	"Hematophagous"	"Sonenshine, D.E., 1991. Biology of ticks, vol. 1, Oxford University Press, New York."
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Pyroglyphidae;g__Euroglyphus;s__Euroglyphus maynei"	6958	"Mealia maynei"	"Species"	"Detritivores"	"No"		"Mumcuoğlu, K.Y., Özkan, A.T., 2020. Preventive measures to avoid contact with house dust mites and their allergens. Acarological Studies 2(1), 1-6."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera"	6993	"Saltatoria"	"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Gryllidae;g__Acheta;s__Acheta domesticus"	6997	"Gryllus domesticus"	"Species"	"Omnivores"	"No"		"Ogita, S., Tanaka, Y., Kuriwada, T., 2021. Effect of diet on body size and survival of omnivorous crickets. Entomological Science 24(4), 347–353. https://doi.org/10.1111/ens.12487"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Acrididae;g__Stauroderus;s__Stauroderus scalaris"	7019	"Chorthippus scalaris;Oedipoda scalaris"	"Species"	"Herbivores"	"No"	"Chorthippus (= Stauroderus) scalaris"	"Ibanez, S., Bison, M., Lavorel, S., Moretti, M., 2013. Herbivore species identity mediates interspecific competition between plants. Community Ecology 14(1), 41–47. https://doi.org/10.1556/comec.14.2013.1.5"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aleyrodidae;g__Bemisia;s__Bemisia tabaci"	7038	"Aleurodes tabaci;Aleyrodes tabaci"	"Species"	"Herbivores"	"No"		"Lu, S., Chen, M., Li, J., Shi, Y., Gu, Q., Yan, F., 2019. Changes in Bemisia tabaci feeding behaviors caused directly and indirectly by cucurbit chlorotic yellows virus. Virology Journal 16(1). https://doi.org/10.1186/s12985-019-1215-8"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Bombycidae;g__Bombyx;s__Bombyx mori"	7091	"Phalaena mori"	"Species"	"Herbivores"	"No"		"Zhang, Z.-J., Zhang, S.-S., Niu, B.-L., Ji, D.-F., Liu, X.-J., Li, M.-W., Bai, H., Palli, S. R., Wang, C.-Z., Tan, A.-J., 2019. A determining factor for insect feeding preference in the silkworm, Bombyx mori. PLOS Biology 17(2), e3000162. https://doi.org/10.1371/journal.pbio.3000162"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Saturniidae;g__Antheraea;s__Antheraea pernyi"	7119	"Bombyx pernyi"	"Species"	"Herbivores"	"No"		"Li, W., Zhang, Z., Lin, L., Terenius, O., 2017. Antheraea pernyi (Lepidoptera: Saturniidae) and Its Importance in Sericulture, Food Consumption, and Traditional Chinese Medicine. Journal of Economic Entomology 110(4), 1404–1411. https://doi.org/10.1093/jee/tox140"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus;s__Chironomus tentans"	7153	"Chironomus (Camptochironomus) tentans"	"Species"	"Detritivores"	"No"	"Larvae are detritiovres, adults don't feeds"	"Lacey, R., Watzin, M. C., McIntosh, A.W., 1999. Sediment organic matter content as a confounding factor in toxicity tests with Chironomus tentans. Environmental Toxicology and Chemistry 18(2), 231–236. https://doi.org/10.1002/etc.5620180219. / Hein, J., Mahadeva, M. N., 1992. Rearing & Maintaining Midge Cultures (Chironomus Tentans) for Laboratory Studies. The American Biology Teacher 54(4), 236–240. https://doi.org/10.2307/4449462"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Culicidae;g__Aedes;s__Aedes aegypti"	7159	"Aedes aegypti var. luciensis;Aedes (Stegomyia) aegypti;Culex aegypti;Stegomyia aegypti;Stegomyia fasciata var. luciensis"	"Species"	"Omnivores"	"Yes"	"Larvae are detritivores, adults female are hematophagous"	"Joy, T.K., Arik, A.J., Corby-Harris, V., Johnson, A.A., Riehle, M.A., 2010. The impact of larval and adult dietary restriction on lifespan, reproduction and growth in the mosquito Aedes aegypti. Experimental Gerontology 45(9), 685–690. https://doi.org/10.1016/j.exger.2010.04.009."
