SampleID	LUCAS_ID	Elevation	Erosion_risk	Slope	Aspect	Sample_month	Precipitation_in_sample_month	Temperature_in_sample_month	AvTemp2000_2018	AvPrec2000_2018	bas	Cmic	qO2	Water_content	BARCODE_ID	LC1_2018	LC_simpl_2018	LU1_2018	LU1_2015	Depth	Coarse_fragments	Clay	Sand	Silt	pH	Electrical_conductivity	Organic_carbon	Carbonates	P	N	K	Bulk_density	bioregions	Aridity_in_sample_month	Bioregions_chr	LC_num	C:N	Sample_season	Soil_depth	Mean_annual_temperature	Mean_diurnal_range	Isothermality	Temperature_seasonality	Max_temperature_of_warmest month	Min_temperature_of_coldest month	Temperature_annual_range	Mean_temperature_of_the_wettest_quarter	Mean_temperature_of_driest_quarter	Mean_temperature_of_warmest_quarter	Mean_temperature_of_coldest_quarter	Total_annual_precipitation	Precipitation_of_wettest_month	Precipitation_of_driest_month	Precipitation_seasonality	Precipitation_of_wettest_quarter	Precipitation_of_driest_quarter	Precipitation_of_warmest_quarter	Precipitation_of_coldest_quarter	Sample_date	SSM	SSMA	Project
Lucas0001	52404680	166.6268921	0.01496763	0	345.8823529	5	28.35309982	11.57687235	2.545843422	42.0404114	17.40193237	1514.529469	0.011489993	85.24379812	Lucas0001	WL_coniferous	Woodland	U120	U120	0-20	5	1	84	15	4.16	10.96	346.5	0	44	10.4	193.5	0.494559074	9	0.636049555	mediterranean	2	33.31730769	Spring	1638	1.533333349	8.266666656	23.02692625	973.0069015	20.70000076	-15.19999981	35.90000057	12.00000012	-5.24999994	13.9333334	-10.33333333	624	82	30	32.32172649	222	96	221	117	29.05.2018	9.056149483	-1.161229372	LUCAS
Lucas0002	48623348	69.15314484	0.087306309	0	42.35294118	6	34.1084671	19.11700201	9.018930787	41.06292152	5.794661191	716.2882957	0.008089845	59.69877524	Lucas0002	GL_managed	Grassland	U111	U111	0-20	21.68978102	20.05210918	39.89454094	39.80887097	6.87	118.7	401.3	3	16.6	29.6	65.9	1.067405006	9	0.6544595	mediterranean	3	13.55743243	Summer	2740	8.274999903	8.466666552	29.81220657	760.4917571	23.89999962	-4.5	28.39999962	17.5999999	-0.11666661	17.5999999	-1.166666642	534	80	23	38.03820111	207	80	207	90	01.06.2018	10.87158775	-0.393304437	LUCAS
Lucas0003	34182178	451.0388794	5.424099896	90	0	6	48.03684998	21.52044249	14.70255726	30.53410149	1.043138587	211.230865	0.004938381	16.37551484	Lucas0003	Other bare soil	Bareland	U112	U112	0-20	5	18	17	65	8.24	24.8	7.6	379	5.3	1.2	140.4	1.496392833	9	0.881079606	mediterranean	Bareland	6.333333333	Summer	2035	13.76666669	10.70000005	37.80918751	636.6722225	30	1.700000048	28.29999995	15.58333317	21.83333349	21.88333321	6.399999936	481	55	24	21.40826634	147	93	99	113	03.06.2018	13.68152618	0.953108907	LUCAS
Lucas0004	52863656	134.4962769	0.641072307	0	180.7058824	6	42.75957489	16.72523785	7.242327389	49.18437918	0.464011181	115.7127883	0.004010025	4.695304695	Lucas0004	WL_coniferous	Woodland	U120	U120	0-20	8	4	86	9	6.66	5.31	9.9	1	54.5	0.9	62.4	1.226929449	9	0.85991695	mediterranean	2	11	Summer	1329	5.945833343	8.058333312	26.95094745	831.3309689	22	-7.900000095	29.9000001	16.01666673	-3.566666702	16.01666673	-4.333333383	641	77	30	27.9846486	220	105	220	120	26.06.2018	6.201380253	-0.836800218	LUCAS
Lucas0005	43882828	424.8546448	0.805818879	0	245.6470588	6	77.93600464	18.07496881	9.309268751	58.94012953	1.834943121	415.4334979	0.004416936	22.47920133	Lucas0005	CL_annual	Cropland	U111	U111	0-20	9	21	47	32	7.52	27.5	54.7	62	51.8	4.8	169.8	1.195054612	9	1.525913896	mediterranean	1	11.39583333	Summer	2765	8.391666683	8.533333475	31.72242832	694.2911129	23.20000076	-3.700000048	26.90000081	16.98333327	1.200000048	16.98333327	-0.083333333	791	96	44	27.96817743	275	134	275	146	02.06.2018	8.807646751	-1.011242151	LUCAS
Lucas0006	44263288	33.69156647	0.237286576	0	64.94117647	6	27.41540909	18.65668106	9.874655473	45.29229174	0.440506763	204.1109399	0.002158173	3.278688525	Lucas0006	CL_annual	Cropland	U111	U111	0-10	4	11	70	20	6.34	16.51	9.2	2	20	1.1	168.9	1.067405006	9	0.530723394	mediterranean	1	8.363636364	Summer	2397	9.287500031	8.475000088	32.59615419	664.3558963	24	-2	26	17.53333346	4.883333325	17.53333346	1.299999982	553	61	34	17.82641269	173	111	173	122	01.06.2018	3.101845026	-0.851775765	LUCAS
Lucas0007	46902810	509.4988098	6.937263921	17.05962126	223.0588235	5	79.34951782	15.07574129	8.446107362	65.44255447	0.837757009	346.6452336	0.002416756	11.01131071	Lucas0007	CL_annual	Cropland	U111	U111	0-20	30	16	46	38	6.64	13.93	19.2	1	34.3	2.1	78.2	1.227903484	9	1.650510542	mediterranean	1	9.142857143	Spring	1543	7.295833245	9.191666494	32.82738145	707.7925177	22.29999924	-5.699999809	27.99999905	15.98333295	-1.399999936	15.98333295	-1.399999936	789	112	40	36.08604558	302	129	302	129	29.05.2018	10.52040768	-1.171865344	LUCAS
Lucas0008	36782680	152.5732422	0.599818872	90	0	6	68.90370941	19.60657692	12.20859959	56.32127019	0.479595522	381.3883472	0.001257499	8.128732581	Lucas0008	CL_annual	Cropland	U111	U111	NA	13	38	21	42	7.59	12.55	22.5	8	26.7	2.5	239.7	1.067405006	9	1.309792681	mediterranean	1	9	Summer	2159	11.31666672	9.199999968	37.55102028	579.1032775	25.5	1	24.5	7.966666659	18.60000006	18.60000006	4.5	740	77	50	12.62616889	203	156	156	190	04.06.2018	11.59326458	-0.114376567	LUCAS
Lucas0009	44322920	590.3845825	1.937657999	8.88512427	241.4117647	5	86.8388443	15.38277721	9.108649756	53.89008693	1.137840376	773.9392801	0.001470193	11.61825726	Lucas0009	GL_managed	Grassland	U111	U111	0-10	26	25	40	36	6.95	20.5	32.6	20	36.3	2.8	196.8	1.175942015	9	1.794829675	mediterranean	3	11.64285714	Spring	1606	7.412500063	8.025000087	30.62977155	696.4002474	21.89999962	-4.300000191	26.19999981	16.01666689	2.950000048	16.01666689	-1.049999962	957	100	65	14.21944231	276	204	276	245	30.05.2018	10.76460075	-0.829528093	LUCAS
Lucas0010	44943870	173.4585876	2.260945165	8.88512427	275.2941176	6	44.21509552	16.47368765	7.103998812	64.74700767	0.573427812	157.7465604	0.003635121	5.995004163	Lucas0010	GL_managed	Grassland	U111	U111	0-20	7	7	68	26	5.5	7.31	27.2	0	51.9	2.4	30.2	1.067405006	9	0.893709315	mediterranean	3	11.33333333	Summer	392	6.316666718	7.216666618	27.86357706	672.7093587	20.60000038	-5.300000191	25.90000057	6.766666651	5.083333485	14.9333334	-1.516666661	920	99	52	22.38427567	290	166	231	233	04.06.2018	4.687795162	-1.040038586	LUCAS
